,vx,vy,r,throttle,steering,dvx,dvy,dr
895,0.884107768535614,-1.1611390113830566,-1.6623709201812744,0.800000011920929,0.800000011920929,-0.8684039115905762,0.8576154708862305,5.044287443161011
896,0.8821278810501099,-1.1619532108306885,-1.303217887878418,0.8090000152587891,0.8090000152587891,-0.8928477764129639,0.9547114372253418,-12.211960554122925
897,0.8667396903038025,-1.143986701965332,-1.5614851713180542,0.8090000152587891,0.8090000152587891,-0.38492679595947266,0.44005513191223145,-11.969059705734253
898,0.8642709255218506,-1.1428589820861816,-1.5474570989608765,0.8100000023841858,0.8100000023841858,-0.15346407890319824,0.22211074829102673,-5.426603555679321
899,0.859041154384613,-1.1351855993270874,-1.8008663654327393,0.8100000023841858,0.8100000023841858,-0.05811154842376709,0.10078549385070801,6.833076477050781
900,0.8612016439437866,-1.138416767120361,-1.655989170074463,0.8100000023841858,0.8100000023841858,-0.12999176979064941,0.30675530433653675,12.710428237915039
901,0.8578789234161377,-1.1331698894500732,-1.6642048358917236,0.8100000023841858,0.8100000023841858,-0.2743273973464966,0.5112826824188232,1.2105345726013184
902,0.8586018085479736,-1.1322816610336304,-1.401780605316162,0.8100000023841858,0.8100000023841858,-0.4887700080871582,0.7930576801299938,-10.246902704238892
903,0.8523923754692078,-1.1229442358016968,-1.6399941444396973,0.8100000023841858,0.8100000023841858,-0.27822256088256836,0.6627798080444336,-8.44663381576538
904,0.8488264083862305,-1.1164205074310305,-1.60671865940094,0.8100000023841858,0.8100000023841858,-0.4558175802230835,1.034611463546764,2.1497666835785023
905,0.8468279242515564,-1.109688639640808,-1.8089268207550049,0.8119999766349792,0.8119999766349792,-0.4098653793334961,0.7477879524230957,27.246665954589844
906,0.8397100567817688,-1.0957282781600952,-1.56372332572937,0.8130000233650208,0.8130000233650208,-0.5464732646942139,0.7543385028839111,3.590226173400879
907,0.8386306166648865,-1.0947328805923462,-1.263993501663208,0.8130000233650208,0.8130000233650208,-1.1112511157989502,1.4193415641784668,-11.774957180023204
908,0.8287805914878845,-1.080641508102417,-1.4919188022613523,0.8159999847412109,0.8159999847412109,-0.9015023708343506,1.0926306247711182,-12.210845947265636
909,0.8164055943489075,-1.0663460493087769,-1.499492645263672,0.8159999847412109,0.8159999847412109,-0.19549429416656494,0.3235936164855957,-4.137128591537465
910,0.8107505440711975,-1.0587888956069946,-1.736135721206665,0.8159999847412109,0.8159999847412109,0.06105005741119385,0.08302927017211914,8.46860408782959
911,0.8124957084655762,-1.059874176979065,-1.5822352170944214,0.8159999847412109,0.8159999847412109,-0.026208162307739258,0.13729333877563477,0.7735788822174072
912,0.8119715452194214,-1.0571283102035522,-1.5667636394500732,0.8149999976158142,0.8149999976158142,-0.09331703186035156,0.548475980758667,-22.43860960006714
913,0.8119715452194214,-1.0571283102035522,-1.5667636394500732,0.8149999976158142,0.8149999976158142,-0.704270601272583,1.3358235359191895,-17.89417862892152
914,0.8101052045822144,-1.046158790588379,-2.015535831451416,0.8130000233650208,0.8130000233650208,-0.5472064018249512,0.800257921218861,17.488378286361705
915,0.7978861331939697,-1.0304118394851685,-1.9246472120285036,0.8100000023841858,0.8100000023841858,0.17367303371429443,0.24492740631103516,21.534264087677013
916,0.7991610765457153,-1.0301536321640017,-1.665768265724182,0.8069999814033508,0.8069999814033508,-0.1785576343536377,0.9392380714416615,8.652317523956288
917,0.8013595938682556,-1.0255132913589478,-1.4939619302749634,0.8069999814033508,0.8069999814033508,-0.28848350048065186,0.7072210311889648,0.06200075149536133
918,0.7955899238586426,-1.0113688707351685,-1.4927219152450562,0.8059999942779541,0.8059999942779541,-0.7152527570724487,1.288345456123352,-33.658367395401
919,0.7955899238586426,-1.0113688707351685,-1.4927219152450562,0.8029999732971191,0.8029999732971191,-1.2463897466659546,2.2259145975112915,-24.357712268829346
920,0.7812848687171936,-0.9856019616127014,-2.165889263153076,0.8029999732971191,0.8029999732971191,-0.7164180278778076,1.4485418796539307,11.52372956275941
921,0.7706621289253235,-0.9668505787849426,-1.979876160621643,0.800000011920929,0.800000011920929,-0.7297486066818237,1.3254225254058838,23.23756217956543
922,0.7669565081596375,-0.9566311240196228,-1.935414671897888,0.7960000038146973,0.7960000038146973,-0.9892582893371582,1.539146900177002,24.016016721725453
923,0.756067156791687,-0.940342128276825,-1.5151249170303345,0.7929999828338623,0.7929999828338623,-1.0595113039016724,1.617419719696045,2.674686908721924
924,0.7471713423728943,-0.9258481860160828,-1.455094337463379,0.7919999957084656,0.7919999957084656,-0.8836597204208374,1.4293670654296875,-1.5414893627166748
925,0.7348769307136536,-0.907993733882904,-1.461631178855896,0.7919999957084656,0.7919999957084656,-0.48645734786987305,1.0320961475372314,-1.3831079006194957
926,0.7294981479644775,-0.897260844707489,-1.4859241247177124,0.7900000214576721,0.7900000214576721,-0.41286349296569824,0.9736984968185425,0.06669759750366211
927,0.7251477837562561,-0.8873518109321594,-1.489293336868286,0.7900000214576721,0.7900000214576721,-0.5387276411056519,1.1424660682678223,1.5113651752471702
928,0.7212408781051636,-0.8777868747711182,-1.4845901727676392,0.7900000214576721,0.7900000214576721,-0.555574893951416,1.1845141649246216,2.1749913692474365
929,0.7143732309341431,-0.864502489566803,-1.4590660333633425,0.7900000214576721,0.7900000214576721,-0.440371036529541,1.0460108518600464,1.6912519931793213
930,0.7101293802261353,-0.8540965914726257,-1.4410903453826904,0.7900000214576721,0.7900000214576721,-0.34064948558807373,0.950506329536438,1.420503854751587
931,0.7055658102035522,-0.843582272529602,-1.425240993499756,0.7919999957084656,0.7919999957084656,0.016373395919799805,0.42423903942108154,12.477874755859386
932,0.7033163905143738,-0.835086464881897,-1.4126802682876587,0.7919999957084656,0.7919999957084656,-0.25546252727508545,0.9259462356567383,2.9850006103515625
933,0.7058932781219482,-0.8350974917411804,-1.1756834983825684,0.7919999957084656,0.7919999957084656,-0.762590765953064,1.6364961862564087,-6.382375955581665
934,0.6982071399688721,-0.8165675401687622,-1.3529802560806274,0.7919999957084656,0.7919999957084656,-0.6948530673980713,1.3030171394348145,-4.761481285095204
935,0.690641462802887,-0.8023675680160522,-1.3033310174942017,0.7919999957084656,0.7919999957084656,-0.8085191249847412,1.3796508312225342,2.1637320518493652
936,0.6843100786209106,-0.7905071973800659,-1.4482098817825315,0.7919999957084656,0.7919999957084656,-0.857388973236084,1.4430791139602661,10.959160327911366
