,time,X,Y,Psi,vx,vy,r,throttle,steering,dvx,dvy,dr
2,14993822.0,2.464883446939321,-0.0151348606770385,-2.2078296019508,0.01,0.001498551085092519,-0.0020440358619211135,0.0,0.0,0.0,0.032885235294747614,-0.22365252582747144
3,5154811.0,2.464885379306512,-0.0151407524373652,-2.207844745699448,0.01,0.0014995719613329218,-0.0004388777293862008,0.0,0.0,0.0,0.00019804338905979926,0.31139029782758526
4,10830667.0,2.464887512614823,-0.0151386961992208,-2.20784921680011,0.01,0.0010497850443359634,-0.00030204716275301625,0.0,0.0,0.0,-0.04152901358678634,0.012633623269294916
5,9359600.0,2.4648945833993983,-0.0151382606730161,-2.207847794388541,0.01,0.000612475602802848,-0.0020679317688168638,0.0,0.0,0.0,-0.04672309089417447,-0.18867094812426252
6,10228265.0,2.464884199569056,-0.0151278689042776,-2.2078876971130166,0.01,0.0009263813052698949,8.55532713421504e-05,0.0,0.0,0.0,0.03069002440463234,0.21054255439793693
7,9856762.0,2.464880978336208,-0.0151353354901682,-2.207886781216225,0.01,0.0014893720985273856,0.009021677855740986,0.0,0.0,0.0,0.05711721488836707,0.9065983924942933
8,9739429.0,2.4648950899689672,-0.0151458443633308,-2.207800025315683,0.01,0.0015597928482289308,0.0005579240488749826,0.0,0.0,0.0,0.007230480318871391,-0.8690195089328134
9,9961106.0,2.464900241633376,-0.0151442969820591,-2.2077941985505163,0.01,0.0011645307115539256,-0.002364287851230813,0.0,0.0,0.0,-0.03968054718773249,-0.2933621929237371
10,10089151.0,2.464896515854608,-0.0151385175855893,-2.20781613278657,0.01,0.0005968928437457361,-0.0003066465723937355,0.0,0.0,0.0,-0.05626220360942061,0.2039459295273782
11,9864767.0,2.464890710431765,-0.0151291157931114,-2.207819277815759,0.01,0.0007549107923589596,-0.0005972345847932759,0.0,0.0,0.0,0.016018416716099177,-0.029457159241524953
12,10206833.0,2.4648951069998226,-0.0151298159062613,-2.2078227709172973,0.01,0.0010591036130405598,-0.00042076835915807445,0.0,0.0,0.0,0.029802860562291963,0.017289028402365497
13,14233950.0,2.4648852573043696,-0.0151264169067056,-2.2078324255284265,0.01,0.0013929892782775918,0.001011061618450909,0.0,0.0,0.0,0.023456992980657655,0.10059259570315923
14,20320331.0,2.4648892800492934,-0.0151415900404649,-2.2078118765179693,0.01,0.0016320843461132945,-0.17804484459470785,0.0,0.0,0.0,0.011766297893262797,-8.811662871690366
15,15641963.0,2.464899360526221,-0.0151574022952224,-2.2078286312595408,0.01,0.0009976129469683997,-0.6907645259259871,0.0,0.0,0.0,-0.04056213399462042,-32.77847424465071
16,49358.0,2.464899360526221,-0.0151574022952224,-2.2078286312595408,0.01,0.0009976129469683997,-0.6907645259259871,0.0,0.0,0.0,0.0,0.0
17,1846274.0,2.4649036816917955,-0.0151433523843282,-2.2078685536222604,0.01,0.0007522406673081729,0.003728919367300697,0.0,0.0,0.0,-0.1329013351540599,376.15946782183346
18,9149564.0,2.46489294921464,-0.0151492195691725,-2.2078337280361193,0.01,0.001332179425165067,0.004821790167126516,0.0,0.0,0.0,0.06338430529114766,0.11944512326771188
19,8666362.0,2.464887711546348,-0.0151601616747392,-2.207785112761077,0.01,0.001634212935126352,0.003241263094037393,0.0,0.0,0.0,0.034851245535472086,-0.18237491961322674
20,10073119.0,2.464899782375308,-0.0151669883440409,-2.207752460383629,0.01,0.001585841181195738,0.0013203640758362551,0.0,0.0,0.0,-0.004802063187242587,-0.19069555499157095
21,9994043.0,2.46489854218868,-0.0151689254582034,-2.207739865405623,0.01,0.0011366090524432403,-0.0011974947779292077,0.0,0.0,0.0,-0.04494998958404499,-0.25193596363008075
22,9755208.0,2.464906033988945,-0.0151688189092261,-2.207739224514177,0.01,0.0010622248413419085,-0.0006164867549659209,0.0,0.0,0.0,-0.007625076892397555,0.05955875292082821
23,11021858.0,2.4648983088394107,-0.0151539002111753,-2.207746308973442,0.01,0.0006238888754224706,-0.0009743182163321568,0.0,0.0,0.0,-0.039769698168805837,-0.03246562071170177
24,9054913.0,2.4648944146264995,-0.0151463080505943,-2.207778949827285,0.01,0.0009664837910154233,0.00021274644782259906,0.0,0.0,0.0,0.03783525204416129,0.1310961976282661
25,10208767.0,2.4648976108244485,-0.0151500894467007,-2.2077826513898775,0.01,0.001400746058656647,-6.8450977469795445e-06,0.0,0.0,0.0,0.042538170147406025,-0.021510094761647374
26,10631242.0,2.464899900858489,-0.0151710535498996,-2.2077229927714517,0.01,0.001728255354427624,-0.0012917722227033853,0.0,0.0,0.0,0.030806306146636195,-0.12086331257969725
27,11333576.0,2.464897502368604,-0.0151785038160433,-2.207733927882963,0.01,0.0015919772227537233,-0.00012602010367329238,0.0,0.0,0.0,-0.01202428356891952,0.1028582787136287
28,7874707.0,2.4648924358756394,-0.0151765367933462,-2.207735215416374,0.01,0.0010905323807250675,6.226337551907978e-05,0.0,0.0,0.0,-0.06367790471806198,0.023909902830971635
29,9988935.0,2.464899200069825,-0.0151763220068656,-2.2077351306729804,0.01,0.0009223896148206995,0.00042224207027466166,0.0,0.0,0.0,-0.016832902196717472,0.03603774524066699
30,10157495.0,2.4648949275961423,-0.015162765248355,-2.2077488863697763,0.01,0.00084664193997056,0.0005932257548953312,0.0,0.0,0.0,-0.007457318448115352,0.01683325314171157
31,10439592.0,2.4648915419809447,-0.0151624596239974,-2.20774290360558,0.01,0.001452004904990714,-0.0004914770143412344,0.0,0.0,0.0,0.05798722450265816,-0.10390279325442657
