%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1660199321345542380,0,2.464895486831665,-0.015118357725441456,-2.207864761352539,0.009999999776482582,-0.00014375365572050214,-0.002253861865028739,0.0,0.0
1660199321355489227,0,2.4648897647857666,-0.015121395699679852,-2.20790433883667,0.009999999776482582,-3.5902125091524795e-05,-0.003993553575128317,0.0,0.0
1660199321365386317,0,2.464881181716919,-0.015120500698685646,-2.207951307296753,0.009999999776482582,5.51362318219617e-05,-0.005469048395752907,0.0,0.0
1660199321375478077,0,2.4648854732513428,-0.015115049667656422,-2.207949638366699,0.009999999776482582,0.0001651817437959835,-0.004523454234004021,0.0,0.0
1660199321385312801,0,2.4648847579956055,-0.015098005533218384,-2.207897663116455,0.009999999776482582,4.354210977908224e-05,9.817699901759624e-05,0.0,0.0
1660199321395488979,0,2.464881658554077,-0.015096916817128658,-2.2078776359558105,0.009999999776482582,-0.0001785770436981693,0.003543691011145711,0.0,0.0
1660199321405368140,0,2.4648854732513428,-0.015110831707715988,-2.2078535556793213,0.009999999776482582,-0.00011418463691370562,0.005013497546315193,0.0,0.0
1660199321415330101,0,2.4648935794830322,-0.015117189846932888,-2.2078375816345215,0.009999999776482582,4.36175514550996e-06,0.00345523445867002,0.0,0.0
1660199321425441762,0,2.464895486831665,-0.015119454823434353,-2.207812547683716,0.009999999776482582,6.841483263997361e-05,0.003520210040733218,0.0,0.0
1660199321435479481,0,2.464893341064453,-0.015114901587367058,-2.2078537940979004,0.009999999776482582,0.000161773496074602,0.00014722836203873158,0.0,0.0
1660199321445245497,0,2.464883327484131,-0.01509980857372284,-2.207885503768921,0.009999999776482582,-1.1289531357761007e-05,-0.0023972883354872465,0.0,0.0
1660199321455519885,0,2.4648663997650146,-0.015101681463420391,-2.207918405532837,0.009999999776482582,-0.00018331919272895902,-0.0053611621260643005,0.0,0.0
1660199321465467824,0,2.464874505996704,-0.015109686180949211,-2.2079038619995117,0.009999999776482582,-8.089259790722281e-05,-0.0028733655344694853,0.0,0.0
1660199321475392147,0,2.4648818969726562,-0.015111198648810387,-2.207873582839966,0.009999999776482582,1.2894813153252471e-05,0.000428792875027284,0.0,0.0
1660199321485483150,0,2.4648728370666504,-0.015108395367860794,-2.2078654766082764,0.009999999776482582,7.24250785424374e-05,0.002553884405642748,0.0,0.0
1660199321495562066,0,2.464893341064453,-0.015098593197762966,-2.2078282833099365,0.009999999776482582,0.0001855989103205502,0.004030745942145586,0.0,0.0
1660199321505267422,0,2.4648892879486084,-0.0150846466422081,-2.2078542709350586,0.009999999776482582,-3.1121016945689917e-05,0.0011877171928063035,0.0,0.0
1660199321515370606,0,2.4648897647857666,-0.01508970744907856,-2.207831621170044,0.009999999776482582,-0.00017799175111576915,0.0018116602441295981,0.0,0.0
1660199321525452141,0,2.464895486831665,-0.015098712407052517,-2.2078449726104736,0.009999999776482582,-8.789406274445355e-05,-0.0006318753003142774,0.0,0.0
1660199321535401288,0,2.464905023574829,-0.015106656588613987,-2.207824230194092,0.009999999776482582,7.75603166403016e-06,0.001406750874593854,0.0,0.0
1660199321545455970,0,2.4648947715759277,-0.015097536146640778,-2.207836389541626,0.009999999776482582,0.00011072753113694489,-0.00010562577517703176,0.0,0.0
1660199321555499833,0,2.46490478515625,-0.015090122818946838,-2.2078135013580322,0.009999999776482582,0.0001608215388841927,0.0015484431060031056,0.0,0.0
1660199321565489507,0,2.464904546737671,-0.015080600045621395,-2.207770347595215,0.009999999776482582,-3.449198629823513e-05,0.0029314737766981125,0.0,0.0
1660199321575514340,0,2.4648890495300293,-0.015085052698850632,-2.207810163497925,0.009999999776482582,-0.00018695186008699238,0.0012903718743473291,0.0,0.0
1660199321585525914,0,2.4648897647857666,-0.015096606686711311,-2.207803249359131,0.009999999776482582,-0.00017300319450441748,0.0006809714250266552,0.0,0.0
1660199321595346968,0,2.4649059772491455,-0.015101321041584015,-2.207799196243286,0.009999999776482582,8.369795068574604e-06,-0.001230746740475297,0.0,0.0
1660199321605324913,0,2.464900493621826,-0.015099133364856243,-2.2078254222869873,0.009999999776482582,0.00011092391650890931,-0.0010487473336979747,0.0,0.0
1660199321615398353,0,2.464900493621826,-0.015094170346856117,-2.207799196243286,0.009999999776482582,0.00016505726671312004,0.00025578856002539396,0.0,0.0
1660199321625477723,0,2.4649033546447754,-0.01508787926286459,-2.207841396331787,0.009999999776482582,-6.50860310997814e-05,-0.0021762950345873833,0.0,0.0
1660199321635321560,0,2.4648983478546143,-0.015097882598638535,-2.2078747749328613,0.009999999776482582,-0.0001911239087348804,-0.0027237264439463615,0.0,0.0
1660199321645392099,0,2.4649031162261963,-0.015111413784325123,-2.207831382751465,0.009999999776482582,-8.632240496808663e-05,-0.0015078525757417083,0.0,0.0
1660199321655471158,0,2.4649112224578857,-0.0151198236271739,-2.2078020572662354,0.009999999776482582,-7.930053470772691e-06,0.001787757035344839,0.0,0.0
1660199321665277576,0,2.4649181365966797,-0.015119019895792007,-2.2078144550323486,0.009999999776482582,0.00010051971185021102,0.002923147054389119,0.0,0.0
1660199321675295599,0,2.464916944503784,-0.015104006975889206,-2.2077910900115967,0.009999999776482582,0.00011804066161857918,0.002366159111261368,0.0,0.0
1660199321685358714,0,2.4649202823638916,-0.015099243260920048,-2.207763910293579,0.009999999776482582,-0.00011481374531285837,0.002174658002331853,0.0,0.0
1660199321695513733,0,2.4649107456207275,-0.015106972306966782,-2.207833766937256,0.009999999776482582,-0.0002230431418865919,-0.0010767896892502904,0.0,0.0
1660199321705285558,0,2.464900255203247,-0.015109785832464695,-2.2078819274902344,0.009999999776482582,-0.00011047309817513451,-0.004590412601828575,0.0,0.0
1660199321715462048,0,2.4649009704589844,-0.01511290017515421,-2.2078816890716553,0.009999999776482582,-2.35703064390691e-05,-0.005965306889265776,0.0,0.0
1660199321725500564,0,2.4649112224578857,-0.015112065710127354,-2.2078771591186523,0.009999999776482582,8.115889795590192e-05,-0.002694154856726527,0.0,0.0
1660199321735374238,0,2.4649178981781006,-0.015103033743798733,-2.2078239917755127,0.009999999776482582,0.00012065556802554056,0.0027249595150351524,0.0,0.0
1660199321745448667,0,2.4649157524108887,-0.015098104253411293,-2.2078468799591064,0.009999999776482582,-9.882945596473292e-05,0.0018179143080487847,0.0,0.0
1660199321755483556,0,2.4649040699005127,-0.015100419521331787,-2.207897424697876,0.009999999776482582,-0.000221495603909716,-0.0010265172459185123,0.0,0.0
1660199321765143347,0,2.46488881111145,-0.015108210034668446,-2.207894802093506,0.009999999776482582,-0.00011745495430659503,-0.003359176218509674,0.0,0.0
1660199321775435635,0,2.464897394180298,-0.015113496221601963,-2.2078869342803955,0.009999999776482582,-4.247887773090042e-05,-0.0022305515594780445,0.0,0.0
1660199321785393055,0,2.4648947715759277,-0.015112794935703278,-2.2078800201416016,0.009999999776482582,7.033280417090282e-05,0.0005851828609593213,0.0,0.0
1660199321795315498,0,2.4648947715759277,-0.015112794935703278,-2.2078800201416016,0.009999999776482582,7.033280417090282e-05,0.0005851828609593213,0.0,0.0
1660199321805252084,0,2.4648990631103516,-0.015095928683876991,-2.2078590393066406,0.009999999776482582,-5.2916428103344515e-05,0.0018805249128490686,0.0,0.0
