,vx,vy,omega,throttle,steering,dvx,dvy,dr
0,33.0,10.5,2.2,1.0,1.0,40.174234721490464,77.2975296217772,33.27050380012311
1,0.02,-10.5,-2.2,-1.0,-1.0,-61.085967848072926,-76.29576087018859,-33.269699495500184
