,vx,vy,omega,throttle,steering,dvx,dvy,dr
0,3.509025175419761,1.7901257327715152,8.175964358592722,1.0,1.0,4.190231426445664,16.470439126736135,404.5134639416118
1,0.01,-1.899080456886719,-7.909383117562937,-0.1,-1.0,-9.264144039251734,-19.01156438397008,-405.0037305218855
