,vx,vy,omega,throttle,steering,dvx,dvy,dr
0,3.8,2.916453433318545,9.0,1.0,1.0,5.604438180950405,20.1878264616758,402.35661154143406
1,0.01,-2.261073252657772,-7.43430024957123,-0.1,-1.0,-16.162826754519163,-29.495871977758394,-406.963953500095
