%time,field.layout.data_offset,field.data0,field.data1
1660024896037082214,0,0.0,0.0
1660024896048287165,0,0.0,0.0
1660024896076069370,0,0.0,0.0
1660024896078315666,0,0.0,0.0
1660024896078350337,0,0.0,0.0
1660024896086829692,0,0.0,0.0
1660024896109344673,0,0.0,0.0
1660024896109364916,0,0.0,0.0
1660024896117009093,0,0.0,0.0
1660024896137717508,0,0.0,0.0
1660024896137729006,0,0.0,0.0
1660024896147343387,0,0.0,0.0
1660024896157535984,0,0.0,0.0
1660024896170913888,0,0.0,0.0
1660024896177080180,0,0.0,0.0
1660024896193510805,0,0.0,0.0
1660024896205218392,0,0.0,0.0
1660024896207168926,0,0.0,0.0
1660024896218744222,0,0.0,0.0
1660024896229253033,0,0.0,0.0
1660024896237464256,0,0.0,0.0
1660024896254609304,0,0.0,0.0
1660024896257183016,0,0.0,0.0
1660024896271052051,0,0.0,0.0
1660024896277028011,0,0.0,0.0
1660024896287705684,0,0.0,0.0
1660024896312642766,0,0.0,0.0
1660024896319248848,0,0.0,0.0
1660024896325918132,0,0.0,0.0
1660024896328420756,0,0.0,0.0
1660024896336920147,0,0.0,0.0
1660024896351049934,0,0.0,0.0
1660024896356980210,0,0.0,0.0
1660024896376576130,0,0.0,0.0
1660024896377692475,0,0.0,0.0
1660024896387277326,0,0.0,0.0
1660024896397160510,0,0.0,0.0
1660024896408408162,0,0.0,0.0
1660024896417031251,0,0.0,0.0
1660024896430958410,0,0.0,0.0
1660024896437234429,0,0.0,0.0
1660024896447402676,0,0.0,0.0
1660024896457738503,0,0.0,0.0
1660024896466996807,0,0.0,0.0
1660024896484920011,0,0.0,0.0
1660024896487875517,0,0.0,0.0
1660024896497621056,0,0.0,0.0
1660024896527279673,0,0.0,0.0
1660024896527312582,0,0.0,0.0
1660024896527336399,0,0.0,0.0
1660024896537645755,0,0.0,0.0
1660024896547015791,0,0.0,0.0
1660024896556991365,0,0.0,0.0
1660024896568031677,0,0.0,0.0
1660024896577199431,0,0.0,0.0
1660024896591834647,0,0.0,0.0
1660024896597755503,0,0.0,0.0
1660024896610853179,0,0.0,0.0
1660024896616951854,0,0.0,0.0
1660024896626904815,0,0.0,0.0
1660024896639271340,0,0.0,0.0
1660024896647737726,0,0.0,0.0
1660024896656938676,0,0.0,0.0
1660024896668438599,0,0.0,0.0
1660024896679496868,0,0.0,0.0
1660024896687426359,0,0.0,0.0
1660024896704809372,0,0.0,0.0
1660024896711483521,0,0.0,0.0
1660024896717472474,0,0.0,0.0
1660024896727022190,0,0.0,0.0
1660024896737136888,0,0.0,0.0
1660024896747985398,0,0.0,0.0
1660024896758497152,0,0.0,0.0
1660024896767511844,0,0.0,0.0
1660024896778302029,0,0.0,0.0
1660024896787990173,0,0.0,0.0
1660024896797054994,0,0.0,0.0
1660024896824261724,0,0.0,0.0
1660024896824289009,0,0.0,0.0
1660024896831719115,0,0.0,0.0
1660024896837523819,0,0.0,0.0
1660024896847040486,0,0.0,0.0
1660024896856992656,0,0.0,0.0
1660024896867046522,0,0.0,0.0
1660024896885824263,0,0.0,0.0
1660024896887267089,0,0.0,0.0
1660024896898536370,0,0.0,0.0
1660024896907491326,0,0.0,0.0
1660024896927791185,0,0.0,0.0
1660024896927815356,0,0.0,0.0
1660024896937322456,0,0.0,0.0
1660024896949477322,0,0.0,0.0
1660024896957119467,0,0.0,0.0
1660024896973236026,0,0.0,0.0
1660024896977857618,0,0.0,0.0
1660024896994767419,0,0.0,0.0
1660024896998413797,0,0.0,0.0
1660024897007194784,0,0.0,0.0
1660024897031704031,0,0.0,0.0
1660024897031709982,0,0.0,0.0
1660024897036841825,0,0.0,0.0
1660024897059682542,0,0.0,0.0
1660024897059707496,0,0.0,0.0
1660024897067237215,0,0.0,0.0
1660024897076939252,0,0.0,0.0
1660024897094249608,0,0.0,0.0
1660024897097332036,0,0.0,0.0
1660024897109343670,0,0.0,0.0
1660024897124686809,0,0.0,0.0
1660024897127278843,0,0.0,0.0
1660024897138201108,0,0.0,0.0
1660024897147236517,0,0.0,0.0
1660024897157008211,0,0.0,0.0
1660024897169138334,0,0.0,0.0
1660024897177360595,0,0.0,0.0
1660024897187606343,0,0.0,0.0
1660024897197086022,0,0.0,0.0
1660024897207041523,0,0.0,0.0
1660024897217103751,0,0.0,0.0
1660024897227559788,0,0.0,0.0
1660024897238417003,0,0.0,0.0
1660024897247171991,0,0.0,0.0
1660024897256875769,0,0.0,0.0
1660024897266802961,0,0.0,0.0
1660024897277272276,0,0.0,0.0
1660024897287309844,0,0.0,0.0
1660024897297459957,0,0.0,0.0
1660024897307076662,0,0.0,0.0
1660024897319612722,0,0.0,0.0
1660024897337633378,0,0.0,0.0
1660024897339774369,0,0.0,0.0
1660024897346973065,0,0.0,0.0
1660024897356898513,0,0.0,0.0
1660024897367257637,0,0.0,0.0
1660024897379014599,0,0.0,0.0
1660024897387027706,0,0.0,0.0
1660024897403455972,0,0.0,0.0
1660024897407120536,0,0.0,0.0
1660024897417133129,0,0.0,0.0
1660024897435990551,0,0.0,0.0
1660024897438284884,0,0.0,0.0
1660024897447091319,0,0.0,0.0
1660024897457039344,0,0.0,0.0
1660024897466885496,0,0.0,0.0
1660024897479672103,0,0.0,0.0
1660024897490856112,0,0.0,0.0
1660024897516181721,0,0.0,0.0
1660024897516199688,0,0.0,0.0
1660024897518256826,0,0.0,0.0
1660024897533079313,0,0.0,0.0
1660024897536922132,0,0.0,0.0
1660024897547551027,0,0.0,0.0
1660024897557407508,0,0.0,0.0
1660024897568698706,0,0.0,0.0
1660024897577151572,0,0.0,0.0
1660024897613687163,0,0.0,0.0
1660024897618271278,0,0.0,0.0
1660024897619266558,0,0.0,0.0
1660024897619277038,0,0.0,0.0
1660024897627296343,0,0.0,0.0
1660024897638149839,0,0.0,0.0
1660024897649130061,0,0.0,0.0
1660024897657105516,0,0.0,0.0
1660024897670088650,0,0.0,0.0
1660024897678271325,0,0.0,0.0
1660024897687665381,0,0.0,0.0
1660024897698610389,0,0.0,0.0
1660024897707145513,0,0.0,0.0
1660024897720505901,0,0.0,0.0
1660024897729965935,0,0.0,0.0
1660024897752814086,0,0.0,0.0
1660024897760588581,0,0.0,0.0
1660024897760605939,0,0.0,0.0
1660024897767882297,0,0.0,0.0
1660024897777282113,0,0.0,0.0
1660024897799115514,0,0.0,0.0
1660024897799174858,0,0.0,0.0
1660024897816623707,0,0.0,0.0
1660024897826498057,0,0.0,0.0
1660024897828108003,0,0.0,0.0
1660024897841921444,0,0.0,0.0
1660024897852086351,0,0.0,0.0
1660024897858319032,0,0.0,0.0
1660024897867815148,0,0.0,0.0
1660024897877659657,0,0.0,0.0
1660024897887016155,0,0.0,0.0
1660024897898253526,0,0.0,0.0
1660024897914194315,0,0.0,0.0
1660024897917060797,0,0.0,0.0
1660024897931445045,0,0.0,0.0
1660024897955808864,0,0.0,0.0
1660024897955830873,0,0.0,0.0
1660024897957288041,0,0.0,0.0
1660024897972530849,0,0.0,0.0
1660024897977014974,0,0.0,0.0
1660024897987998085,0,0.0,0.0
1660024897997510053,0,0.0,0.0
1660024898007070837,0,0.0,0.0
1660024898017217352,0,0.0,0.0
1660024898046413695,0,0.0,0.0
1660024898046454751,0,0.0,0.0
1660024898047528387,0,0.0,0.0
1660024898057010101,0,0.0,0.0
1660024898068521830,0,0.0,0.0
1660024898076932330,0,0.0,0.0
1660024898096641441,0,0.0,0.0
1660024898099029252,0,0.0,0.0
1660024898110594380,0,0.0,0.0
1660024898117836129,0,0.0,0.0
1660024898128264395,0,0.0,0.0
1660024898137144045,0,0.0,0.0
1660024898153450310,0,0.0,0.0
1660024898157841320,0,0.0,0.0
1660024898167305535,0,0.0,0.0
1660024898176791799,0,0.0,0.0
1660024898187230158,0,0.0,0.0
1660024898200934197,0,0.0,0.0
1660024898220022871,0,0.0,0.0
1660024898220033111,0,0.0,0.0
1660024898226889552,0,0.0,0.0
1660024898237575249,0,0.0,0.0
1660024898249008746,0,0.0,0.0
1660024898256983303,0,0.0,0.0
1660024898274736280,0,0.0,0.0
1660024898283443780,0,0.0,0.0
1660024898287629766,0,0.0,0.0
1660024898298310048,0,0.0,0.0
1660024898306592921,0,0.0,0.0
1660024898337693229,0,0.0,0.0
1660024898337717857,0,0.0,0.0
1660024898337726514,0,0.0,0.0
1660024898354551705,0,0.0,0.0
1660024898357324727,0,0.0,0.0
1660024898367225059,0,0.0,0.0
1660024898377392924,0,0.0,0.0
1660024898394286193,0,0.0,0.0
1660024898399325283,0,0.0,0.0
1660024898407242805,0,0.0,0.0
1660024898418616745,0,0.0,0.0
1660024898436827410,0,0.0,0.0
1660024898438313391,0,0.0,0.0
1660024898471508393,0,0.0,0.0
1660024898471915963,0,0.0,0.0
1660024898478852443,0,0.0,0.0
1660024898480374185,0,0.0,0.0
1660024898487742842,0,0.0,0.0
1660024898509458473,0,0.0,0.0
1660024898509485287,0,0.0,0.0
1660024898517788099,0,0.0,0.0
1660024898527553902,0,0.0,0.0
1660024898539014168,0,0.0,0.0
1660024898547625893,0,0.0,0.0
1660024898574803057,0,0.0,0.0
1660024898574823839,0,0.0,0.0
1660024898577208081,0,0.0,0.0
1660024898587697941,0,0.0,0.0
1660024898597489710,0,0.0,0.0
1660024898606845445,0,0.0,0.0
1660024898620561736,0,0.0,0.0
1660024898631933732,0,0.0,0.0
1660024898638640968,0,0.0,0.0
1660024898652013982,0,0.0,0.0
1660024898660003147,0,0.0,0.0
1660024898668109764,0,0.0,0.0
1660024898677296176,0,0.0,0.0
1660024898695471238,0,0.0,0.0
1660024898697303358,0,0.0,0.0
1660024898707620236,0,0.0,0.0
1660024898717778322,0,0.0,0.0
1660024898728346932,0,0.0,0.0
1660024898736951137,0,0.0,0.0
1660024898748838268,0,0.0,0.0
1660024898769813710,0,0.0,0.0
1660024898769836392,0,0.0,0.0
1660024898776870057,0,0.0,0.0
1660024898787678304,0,0.0,0.0
1660024898802424379,0,0.0,0.0
1660024898807153257,0,0.0,0.0
1660024898816976243,0,0.0,0.0
1660024898827669164,0,0.0,0.0
1660024898837132111,0,0.0,0.0
1660024898847692103,0,0.0,0.0
1660024898871367239,0,0.0,0.0
1660024898874850361,0,0.0,0.0
1660024898877270272,0,0.0,0.0
1660024898887163398,0,0.0,0.0
1660024898897249999,0,0.0,0.0
1660024898907789429,0,0.0,0.0
1660024898917474096,0,0.0,0.0
1660024898940822095,0,0.0,0.0
1660024898940845524,0,0.0,0.0
1660024898947590604,0,0.0,0.0
1660024898958607807,0,0.0,0.0
1660024898967077251,0,0.0,0.0
1660024898977105179,0,0.0,0.0
1660024898996279748,0,0.0,0.0
1660024899000568335,0,0.0,0.0
1660024899007162173,0,0.0,0.0
1660024899018508929,0,0.0,0.0
1660024899027824000,0,0.0,0.0
1660024899037266502,0,0.0,0.0
1660024899050159167,0,0.0,0.0
1660024899056960902,0,0.0,0.0
1660024899092296202,0,0.0,0.0
1660024899092581539,0,0.0,0.0
1660024899092599228,0,0.0,0.0
1660024899098353302,0,0.0,0.0
1660024899107423782,0,0.0,0.0
1660024899117232332,0,0.0,0.0
1660024899127022379,0,0.0,0.0
1660024899140983801,0,0.0,0.0
1660024899147508955,0,0.0,0.0
1660024899161485017,0,0.0,0.0
1660024899171588460,0,0.0,0.0
1660024899177264835,0,0.0,0.0
1660024899187181828,0,0.0,0.0
1660024899197444326,0,0.0,0.0
1660024899207289523,0,0.0,0.0
1660024899220898361,0,0.0,0.0
1660024899227394499,0,0.0,0.0
1660024899243591688,0,0.0,0.0
1660024899247532910,0,0.0,0.0
1660024899257471549,0,0.0,0.0
1660024899277224746,0,0.0,0.0
1660024899279720948,0,0.0,0.0
1660024899288768967,0,0.0,0.0
1660024899298691778,0,0.0,0.0
1660024899307603489,0,0.0,0.0
1660024899318045088,0,0.0,0.0
1660024899332106527,0,0.0,0.0
1660024899337138803,0,0.0,0.0
1660024899347045419,0,0.0,0.0
1660024899356973109,0,0.0,0.0
1660024899367102247,0,0.0,0.0
1660024899377697016,0,0.0,0.0
1660024899388063421,0,0.0,0.0
1660024899397192812,0,0.0,0.0
1660024899408306801,0,0.0,0.0
1660024899417387365,0,0.0,0.0
1660024899427045607,0,0.0,0.0
1660024899444064572,0,0.0,0.0
1660024899447238432,0,0.0,0.0
1660024899457833718,0,0.0,0.0
1660024899467334226,0,0.0,0.0
1660024899520093322,0,0.0,0.0
1660024899524623481,0,0.0,0.0
1660024899524642571,0,0.0,0.0
1660024899524659620,0,0.0,0.0
1660024899525313606,0,0.0,0.0
1660024899532781155,0,0.0,0.0
1660024899536945244,0,0.0,0.0
1660024899554220615,0,0.0,0.0
1660024899561583389,0,0.0,0.0
1660024899589181965,0,0.0,0.0
1660024899589202918,0,0.0,0.0
1660024899591886734,0,0.0,0.0
1660024899596821526,0,0.0,0.0
1660024899608611740,0,0.0,0.0
1660024899617041609,0,0.0,0.0
1660024899634922709,0,0.0,0.0
1660024899637314641,0,0.0,0.0
1660024899654229746,0,0.0,0.0
1660024899658041411,0,0.0,0.0
1660024899666999133,0,0.0,0.0
1660024899707190948,0,0.0,0.0
1660024899716711876,0,0.0,0.0
1660024899716730213,0,0.0,0.0
1660024899716734527,0,0.0,0.0
1660024899719441452,0,0.0,0.0
1660024899729579226,0,0.0,0.0
1660024899737309457,0,0.0,0.0
1660024899763583163,0,0.0,0.0
1660024899765335372,0,0.0,0.0
1660024899768574252,0,0.0,0.0
1660024899777527759,0,0.0,0.0
1660024899798851304,0,0.0,0.0
1660024899798884701,0,0.0,0.0
1660024899807980295,0,0.0,0.0
1660024899819397583,0,0.0,0.0
1660024899828011197,0,0.0,0.0
1660024899837066493,0,0.0,0.0
1660024899848991814,0,0.0,0.0
1660024899859777652,0,0.0,0.0
1660024899869558930,0,0.0,0.0
1660024899878369432,0,0.0,0.0
1660024899897868162,0,0.0,0.0
1660024899897891231,0,0.0,0.0
1660024899908001254,0,0.0,0.0
1660024899922976230,0,0.0,0.0
1660024899927082973,0,0.0,0.0
1660024899942218958,0,0.0,0.0
1660024899948126908,0,0.0,0.0
1660024899969663279,0,0.0,0.0
1660024899969686969,0,0.0,0.0
1660024899978230213,0,0.0,0.0
1660024899993164544,0,0.0,0.0
1660024899997064051,0,0.0,0.0
1660024900008264554,0,0.0,0.0
1660024900018972477,0,0.0,0.0
1660024900029209748,0,0.0,0.0
1660024900036948805,0,0.0,0.0
1660024900047312578,0,0.0,0.0
1660024900060257682,0,0.0,0.0
1660024900067397880,0,0.0,0.0
1660024900077550677,0,0.0,0.0
1660024900092107139,0,0.0,0.0
1660024900097680563,0,0.0,0.0
1660024900108657671,0,0.0,0.0
1660024900119094652,0,0.0,0.0
1660024900127815599,0,0.0,0.0
1660024900137669981,0,0.0,0.0
1660024900147101575,0,0.0,0.0
1660024900157909033,0,0.0,0.0
1660024900167236164,0,0.0,0.0
1660024900177289123,0,0.0,0.0
1660024900196329722,0,0.0,0.0
1660024900198127045,0,0.0,0.0
1660024900207172689,0,0.0,0.0
1660024900217858135,0,0.0,0.0
1660024900228331977,0,0.0,0.0
1660024900238059612,0,0.0,0.0
1660024900247747140,0,0.0,0.0
1660024900258200183,0,0.0,0.0
1660024900267121983,0,0.0,0.0
1660024900279334793,0,0.0,0.0
1660024900287159533,0,0.0,0.0
1660024900303293491,0,0.0,0.0
1660024900307344893,0,0.0,0.0
1660024900318326799,0,0.0,0.0
1660024900327207171,0,0.0,0.0
1660024900337267271,0,0.0,0.0
1660024900347688360,0,0.0,0.0
1660024900357193901,0,0.0,0.0
1660024900367413717,0,0.0,0.0
1660024900377043951,0,0.0,0.0
1660024900388091232,0,0.0,0.0
1660024900399705037,0,0.0,0.0
1660024900409058250,0,0.0,0.0
1660024900419541360,0,0.0,0.0
1660024900429339397,0,0.0,0.0
1660024900438786790,0,0.0,0.0
1660024900448119923,0,0.0,0.0
1660024900457563101,0,0.0,0.0
1660024900475718901,0,0.0,0.0
1660024900488719783,0,0.0,0.0
1660024900488792545,0,0.0,0.0
1660024900528199455,0,0.0,0.0
1660024900529522822,0,0.0,0.0
1660024900529608535,0,0.0,0.0
1660024900529655696,0,0.0,0.0
1660024900541501077,0,0.0,0.0
1660024900547507717,0,0.0,0.0
1660024900557278131,0,0.0,0.0
1660024900579664255,0,0.0,0.0
1660024900579688292,0,0.0,0.0
1660024900587075865,0,0.0,0.0
1660024900597271709,0,0.0,0.0
1660024900609461011,0,0.0,0.0
1660024900617491320,0,0.0,0.0
1660024900638265852,0,0.0,0.0
1660024900638932408,0,0.0,0.0
1660024900650377695,0,0.0,0.0
1660024900658092215,0,0.0,0.0
1660024900668264078,0,0.0,0.0
1660024900677435625,0,0.0,0.0
1660024900691954711,0,0.0,0.0
1660024900699182980,0,0.0,0.0
1660024900709583140,0,0.0,0.0
1660024900717699597,0,0.0,0.0
1660024900727545949,0,0.0,0.0
1660024900737054707,0,0.0,0.0
1660024900747039328,0,0.0,0.0
1660024900757589192,0,0.0,0.0
1660024900767217849,0,0.0,0.0
1660024900777100148,0,0.0,0.0
1660024900787164815,0,0.0,0.0
1660024900796930562,0,0.0,0.0
1660024900812690162,0,0.0,0.0
1660024900817206467,0,0.0,0.0
1660024900827188654,0,0.0,0.0
1660024900837113852,0,0.0,0.0
1660024900849315256,0,0.0,0.0
1660024900857148519,0,0.0,0.0
1660024900867469951,0,0.0,0.0
1660024900878817385,0,0.0,0.0
1660024900887227985,0,0.0,0.0
1660024900898212050,0,0.0,0.0
1660024900913931082,0,0.0,0.0
1660024900919969270,0,0.0,0.0
1660024900927482382,0,0.0,0.0
1660024900939907528,0,0.0,0.0
1660024900947801737,0,0.0,0.0
1660024900959976000,0,0.0,0.0
1660024900967045332,0,0.0,0.0
1660024900982683601,0,0.0,0.0
1660024900987339733,0,0.0,0.0
1660024900998292147,0,0.0,0.0
1660024901046238855,0,0.0,0.0
1660024901049118278,0,0.0,0.0
1660024901049157313,0,0.0,0.0
1660024901052276704,0,0.0,0.0
1660024901052281479,0,0.0,0.0
1660024901064763739,0,0.0,0.0
1660024901067361097,0,0.0,0.0
1660024901082930225,0,0.0,0.0
1660024901088124361,0,0.0,0.0
1660024901098751277,0,0.0,0.0
1660024901108777913,0,0.0,0.0
1660024901124224186,0,0.0,0.0
1660024901127274813,0,0.0,0.0
1660024901137405590,0,0.0,0.0
1660024901148304944,0,0.0,0.0
1660024901157188359,0,0.0,0.0
1660024901167204554,0,0.0,0.0
1660024901177386386,0,0.0,0.0
1660024901189250267,0,0.0,0.0
1660024901197166319,0,0.0,0.0
1660024901207100621,0,0.0,0.0
1660024901218393688,0,0.0,0.0
1660024901227243395,0,0.0,0.0
1660024901237049083,0,0.0,0.0
1660024901247551223,0,0.0,0.0
1660024901257238964,0,0.0,0.0
1660024901267215507,0,0.0,0.0
1660024901277506317,0,0.0,0.0
1660024901306006309,0,0.0,0.0
1660024901306027419,0,0.0,0.0
1660024901309968581,0,0.0,0.0
1660024901324871338,0,0.0,0.0
1660024901327188469,0,0.0,0.0
1660024901338707400,0,0.0,0.0
1660024901347548650,0,0.0,0.0
1660024901357083625,0,0.0,0.0
1660024901368957603,0,0.0,0.0
1660024901377402159,0,0.0,0.0
1660024901395316525,0,0.0,0.0
1660024901397196922,0,0.0,0.0
1660024901407907151,0,0.0,0.0
1660024901433198279,0,0.0,0.0
1660024901433249010,0,0.0,0.0
1660024901437279116,0,0.0,0.0
1660024901448687997,0,0.0,0.0
1660024901458290326,0,0.0,0.0
1660024901469264869,0,0.0,0.0
